County	AMERICANINDIANANDNATIVEALASKAN	15-19YEARSOLD	COLLEGEDEGREE(PERCENT)	POPULATIONTOTAL	OTHERRACE	HISPANICORLATINOPOPULATION	HIGHSCHOOLGRADUATEONLY(PERCENT)	MEDIANHOUSEHOLDINCOME	PERSONSINPOVERTY	20-34YEARSOLD	ASIANANDPACIFICISLANDERPOPULATION	TOTALEMPLOYMENT	INCIVILIANLABORFORCE	35-59YEARSOLD	FEMALEPOPULATION	TOTALUNEMPLOYMENT	BLACKORAFRICANAMERICANPOPULATION	60-74YEARSOLD	75YEARSPLUS	WHITEPOPULATION	
TIOGA	210.2233	-396.4665	10.8486	1198.0114	98.6616	545.1877	25.7932	36200.0018	-38078.8221	-1308.8080	264.6115	1087.5218	1385.8747	1875.4398	506.5080	471.0988	409.7715	2494.6424	817.3063	869.1620	27.003067369999997
TIOGA	163.0463	-355.5703	10.2113	1099.1138	76.9828	515.8626	14.2695	32484.8907	-38257.7590	-707.9112	238.5251	627.7239	931.7345	1102.2240	492.4917	497.1814	374.7364	2468.2228	601.7941	795.8852	23.116907559999994
TIOGA	98.9668	-315.1373	9.5426	999.9788	45.3566	481.0055	-4.8488	28211.2812	-38437.5132	-149.7823	206.7846	156.4486	467.1247	280.9995	478.4661	522.7470	334.7383	2441.6773	369.1178	722.4765	9.067201359999999
TIOGA	12.4118	-275.3523	8.8446	901.0818	-0.5164	439.7885	-36.3737	23320.4121	-38617.2224	366.2323	168.3678	-324.2513	-5.8959	-586.9149	464.4984	547.6873	289.3075	2415.1333	119.1586	649.2877	5.8894695299999995
TIOGA	-105.6371	-235.8277	8.1090	801.4712	-67.7031	390.5805	-88.8678	17669.0920	-38798.6182	847.9106	121.4207	-819.2901	-492.1215	-1513.0173	450.4541	572.2520	237.2080	2388.3349	-151.9567	575.6150	11.313748039999993
TIOGA	-265.9805	-196.7506	7.3373	701.6215	-165.7183	332.0896	-175.9575	11168.2000	-38980.8426	1295.3062	64.2980	-1326.6862	-989.5563	-2496.6210	436.4006	596.3299	177.7282	2361.4090	-444.6646	501.8097	7.589998409999993
ADAMS	740.1438	2203.0081	6.7491	32085.8300	3235.7516	8094.7962	29.8403	55099.6884	139997.7083	-1946.3251	1171.3800	13617.0412	49.5703	17419.2208	15932.1096	772.1447	1920.7713	9392.1388	4116.6569	27262.1314	1.244717989999998
ADAMS	680.6259	1869.2316	7.2418	27244.0564	2944.8063	7574.1118	22.9983	50869.9591	135394.3002	-1223.5941	1083.4591	9772.9886	-3867.2806	14279.3783	13529.6360	689.4205	1767.0900	9057.3084	3605.1499	22941.8665	20.23158171
ADAMS	568.4136	1514.2631	7.7236	22067.1251	2464.2014	6791.8294	11.8899	45992.4806	130475.4460	-524.6155	972.0926	5527.4078	-8181.1710	10670.8489	10965.6157	602.7481	1585.3447	8708.6154	3030.8464	18346.4806	14.189883249999994
ADAMS	357.6850	1138.7641	8.1923	16561.1860	1673.6571	5621.7443	-6.0686	40396.7576	125247.4077	147.6226	831.7139	862.8165	-12907.5291	6544.8712	8243.7092	512.4256	1371.4936	8347.4369	2389.3727	13484.4396	3.811456639999996
ADAMS	-35.5030	743.5015	8.6459	10734.2161	381.1841	3881.7731	-34.9264	34009.8871	119718.1526	791.1094	655.7133	-4236.4510	-18059.8732	1851.3561	5368.4348	418.7589	1121.1691	7975.1474	1676.4928	8365.5810	-0.7226283199999983
